line;field;message
97;punkte;must be 1-5
98;kunden_id;not an integer
99;kunden_id;not an integer
99;punkte;must be 1-5
100;kunden_id;not an integer
100;punkte;must be 1-5
101;kunden_id;not an integer
102;kunden_id;not an integer
102;punkte;must be 1-5
103;kunden_id;not an integer
103;punkte;must be 1-5
104;kunden_id;not an integer
105;kunden_id;not an integer
105;punkte;must be 1-5
106;kunden_id;not an integer
107;kunden_id;not an integer
107;punkte;must be 1-5
108;kunden_id;not an integer
109;kunden_id;not an integer
109;punkte;must be 1-5
110;kunden_id;not an integer
110;punkte;must be 1-5
111;kunden_id;not an integer
112;kunden_id;not an integer
113;kunden_id;not an integer
114;kunden_id;not an integer
115;kunden_id;not an integer
115;punkte;must be 1-5
116;kunden_id;not an integer
116;punkte;must be 1-5
117;kunden_id;not an integer
117;punkte;must be 1-5
118;kunden_id;not an integer
118;punkte;must be 1-5
119;kunden_id;not an integer
120;kunden_id;not an integer
121;kunden_id;not an integer
122;kunden_id;not an integer
123;kunden_id;not an integer
124;kunden_id;not an integer
124;punkte;must be 1-5
125;kunden_id;not an integer
125;punkte;must be 1-5
126;kunden_id;not an integer
127;kunden_id;not an integer
128;kunden_id;not an integer
129;kunden_id;not an integer
129;punkte;must be 1-5
130;kunden_id;not an integer
130;punkte;must be 1-5
131;kunden_id;not an integer
132;kunden_id;not an integer
133;kunden_id;not an integer
133;punkte;must be 1-5
134;kunden_id;not an integer
134;punkte;must be 1-5
135;kunden_id;not an integer
136;kunden_id;not an integer
137;kunden_id;not an integer
137;punkte;must be 1-5
138;kunden_id;not an integer
138;punkte;must be 1-5
139;kunden_id;not an integer
140;kunden_id;not an integer
141;kunden_id;not an integer
141;punkte;must be 1-5
142;kunden_id;not an integer
142;punkte;must be 1-5
143;kunden_id;not an integer
144;kunden_id;not an integer
144;punkte;must be 1-5
145;kunden_id;not an integer
146;kunden_id;not an integer
147;kunden_id;not an integer
147;punkte;must be 1-5
148;kunden_id;not an integer
149;kunden_id;not an integer
150;kunden_id;not an integer
151;kunden_id;not an integer
152;kunden_id;not an integer
153;kunden_id;not an integer
154;kunden_id;not an integer
155;kunden_id;not an integer
155;punkte;must be 1-5
156;kunden_id;not an integer
157;kunden_id;not an integer
158;kunden_id;not an integer
159;kunden_id;not an integer
160;kunden_id;not an integer
160;punkte;must be 1-5
161;kunden_id;not an integer
161;punkte;must be 1-5
162;kunden_id;not an integer
162;punkte;must be 1-5
163;kunden_id;not an integer
164;kunden_id;not an integer
164;punkte;must be 1-5
165;kunden_id;not an integer
166;kunden_id;not an integer
167;kunden_id;not an integer
168;kunden_id;not an integer
169;kunden_id;not an integer
169;punkte;must be 1-5
170;kunden_id;not an integer
170;punkte;must be 1-5
171;kunden_id;not an integer
172;kunden_id;not an integer
172;punkte;must be 1-5
173;kunden_id;not an integer
173;punkte;must be 1-5
174;kunden_id;not an integer
174;punkte;must be 1-5
175;kunden_id;not an integer
176;kunden_id;not an integer
176;punkte;must be 1-5
177;kunden_id;not an integer
177;punkte;must be 1-5
178;kunden_id;not an integer
179;kunden_id;not an integer
179;punkte;must be 1-5
180;kunden_id;not an integer
180;punkte;must be 1-5
181;kunden_id;not an integer
182;kunden_id;not an integer
182;punkte;must be 1-5
183;kunden_id;not an integer
183;punkte;must be 1-5
184;kunden_id;not an integer
185;kunden_id;not an integer
186;kunden_id;not an integer
186;punkte;must be 1-5
187;kunden_id;not an integer
188;kunden_id;not an integer
188;punkte;must be 1-5
189;kunden_id;not an integer
190;kunden_id;not an integer
191;kunden_id;not an integer
192;kunden_id;not an integer
193;kunden_id;not an integer
193;punkte;must be 1-5
194;kunden_id;not an integer
195;kunden_id;not an integer
195;punkte;must be 1-5
196;kunden_id;not an integer
196;punkte;must be 1-5
197;kunden_id;not an integer
197;punkte;must be 1-5
198;kunden_id;not an integer
198;punkte;must be 1-5
199;kunden_id;not an integer
200;kunden_id;not an integer
200;punkte;must be 1-5
201;kunden_id;not an integer
201;punkte;must be 1-5
202;kunden_id;not an integer
202;punkte;must be 1-5
203;kunden_id;not an integer
203;punkte;must be 1-5
204;kunden_id;not an integer
204;punkte;must be 1-5
205;kunden_id;not an integer
205;punkte;must be 1-5
206;kunden_id;not an integer
207;kunden_id;not an integer
207;punkte;must be 1-5
208;kunden_id;not an integer
208;punkte;must be 1-5
209;kunden_id;not an integer
209;punkte;must be 1-5
210;kunden_id;not an integer
210;punkte;must be 1-5
211;kunden_id;not an integer
212;kunden_id;not an integer
212;punkte;must be 1-5
213;kunden_id;not an integer
213;punkte;must be 1-5
214;kunden_id;not an integer
214;punkte;must be 1-5
215;kunden_id;not an integer
216;kunden_id;not an integer
217;kunden_id;not an integer
217;punkte;must be 1-5
218;kunden_id;not an integer
219;kunden_id;not an integer
219;punkte;must be 1-5
220;kunden_id;not an integer
220;punkte;must be 1-5
221;kunden_id;not an integer
221;punkte;must be 1-5
222;kunden_id;not an integer
222;punkte;must be 1-5
223;kunden_id;not an integer
224;kunden_id;not an integer
225;kunden_id;not an integer
226;kunden_id;not an integer
226;punkte;must be 1-5
227;kunden_id;not an integer
228;kunden_id;not an integer
229;kunden_id;not an integer
230;kunden_id;not an integer
231;kunden_id;not an integer
231;punkte;must be 1-5
232;kunden_id;not an integer
233;kunden_id;not an integer
234;kunden_id;not an integer
235;kunden_id;not an integer
236;kunden_id;not an integer
236;punkte;must be 1-5
237;kunden_id;not an integer
237;punkte;must be 1-5
238;kunden_id;not an integer
238;punkte;must be 1-5
239;kunden_id;not an integer
240;kunden_id;not an integer
241;kunden_id;not an integer
241;punkte;must be 1-5
242;kunden_id;not an integer
243;kunden_id;not an integer
244;kunden_id;not an integer
244;punkte;must be 1-5
245;kunden_id;not an integer
245;punkte;must be 1-5
246;kunden_id;not an integer
246;punkte;must be 1-5
247;kunden_id;not an integer
247;punkte;must be 1-5
248;kunden_id;not an integer
249;kunden_id;not an integer
249;punkte;must be 1-5
250;kunden_id;not an integer
251;kunden_id;not an integer
252;kunden_id;not an integer
253;kunden_id;not an integer
254;kunden_id;not an integer
254;punkte;must be 1-5
255;kunden_id;not an integer
255;punkte;must be 1-5
256;kunden_id;not an integer
256;punkte;must be 1-5
257;kunden_id;not an integer
257;punkte;must be 1-5
258;kunden_id;not an integer
259;kunden_id;not an integer
259;punkte;must be 1-5
260;kunden_id;not an integer
261;kunden_id;not an integer
261;punkte;must be 1-5
262;kunden_id;not an integer
262;punkte;must be 1-5
263;kunden_id;not an integer
263;punkte;must be 1-5
264;kunden_id;not an integer
265;kunden_id;not an integer
266;kunden_id;not an integer
267;kunden_id;not an integer
267;punkte;must be 1-5
268;kunden_id;not an integer
268;punkte;must be 1-5
269;kunden_id;not an integer
269;punkte;must be 1-5
270;kunden_id;not an integer
271;kunden_id;not an integer
272;kunden_id;not an integer
272;punkte;must be 1-5
273;kunden_id;not an integer
273;punkte;must be 1-5
274;kunden_id;not an integer
275;kunden_id;not an integer
276;kunden_id;not an integer
277;kunden_id;not an integer
277;punkte;must be 1-5
278;kunden_id;not an integer
278;punkte;must be 1-5
279;kunden_id;not an integer
280;kunden_id;not an integer
280;punkte;must be 1-5
281;kunden_id;not an integer
281;punkte;must be 1-5
282;kunden_id;not an integer
283;kunden_id;not an integer
284;kunden_id;not an integer
284;punkte;must be 1-5
285;kunden_id;not an integer
286;kunden_id;not an integer
287;kunden_id;not an integer
287;punkte;must be 1-5
288;kunden_id;not an integer
288;punkte;must be 1-5
289;kunden_id;not an integer
289;punkte;must be 1-5
290;kunden_id;not an integer
291;kunden_id;not an integer
292;kunden_id;not an integer
293;kunden_id;not an integer
294;kunden_id;not an integer
295;kunden_id;not an integer
296;kunden_id;not an integer
296;punkte;must be 1-5
297;kunden_id;not an integer
298;kunden_id;not an integer
299;kunden_id;not an integer
300;kunden_id;not an integer
301;kunden_id;not an integer
302;kunden_id;not an integer
302;punkte;must be 1-5
303;kunden_id;not an integer
303;punkte;must be 1-5
304;kunden_id;not an integer
305;kunden_id;not an integer
306;kunden_id;not an integer
306;punkte;must be 1-5
307;kunden_id;not an integer
308;kunden_id;not an integer
308;punkte;must be 1-5
309;kunden_id;not an integer
309;punkte;must be 1-5
310;kunden_id;not an integer
311;kunden_id;not an integer
312;kunden_id;not an integer
312;punkte;must be 1-5
313;kunden_id;not an integer
314;kunden_id;not an integer
315;kunden_id;not an integer
316;kunden_id;not an integer
317;kunden_id;not an integer
318;kunden_id;not an integer
318;punkte;must be 1-5
319;kunden_id;not an integer
319;punkte;must be 1-5
320;kunden_id;not an integer
320;punkte;must be 1-5
321;kunden_id;not an integer
321;punkte;must be 1-5
322;kunden_id;not an integer
323;kunden_id;not an integer
324;kunden_id;not an integer
324;punkte;must be 1-5
325;kunden_id;not an integer
326;kunden_id;not an integer
327;kunden_id;not an integer
328;kunden_id;not an integer
329;kunden_id;not an integer
330;kunden_id;not an integer
330;punkte;must be 1-5
331;kunden_id;not an integer
332;kunden_id;not an integer
332;punkte;must be 1-5
333;kunden_id;not an integer
333;punkte;must be 1-5
334;kunden_id;not an integer
335;kunden_id;not an integer
336;kunden_id;not an integer
336;punkte;must be 1-5
337;kunden_id;not an integer
338;kunden_id;not an integer
339;kunden_id;not an integer
340;kunden_id;not an integer
340;punkte;must be 1-5
341;kunden_id;not an integer
341;punkte;must be 1-5
342;kunden_id;not an integer
343;kunden_id;not an integer
344;kunden_id;not an integer
344;punkte;must be 1-5
345;kunden_id;not an integer
345;punkte;must be 1-5
346;kunden_id;not an integer
347;kunden_id;not an integer
348;kunden_id;not an integer
349;kunden_id;not an integer
349;punkte;must be 1-5
350;kunden_id;not an integer
351;kunden_id;not an integer
352;kunden_id;not an integer
353;kunden_id;not an integer
354;kunden_id;not an integer
354;punkte;must be 1-5
355;kunden_id;not an integer
355;punkte;must be 1-5
356;kunden_id;not an integer
356;punkte;must be 1-5
357;kunden_id;not an integer
358;kunden_id;not an integer
358;punkte;must be 1-5
359;kunden_id;not an integer
360;kunden_id;not an integer
360;punkte;must be 1-5
361;kunden_id;not an integer
361;punkte;must be 1-5
362;kunden_id;not an integer
362;punkte;must be 1-5
363;kunden_id;not an integer
363;punkte;must be 1-5
364;kunden_id;not an integer
365;kunden_id;not an integer
365;punkte;must be 1-5
366;kunden_id;not an integer
367;kunden_id;not an integer
368;kunden_id;not an integer
369;kunden_id;not an integer
370;kunden_id;not an integer
371;kunden_id;not an integer
372;kunden_id;not an integer
372;punkte;must be 1-5
373;kunden_id;not an integer
374;kunden_id;not an integer
375;kunden_id;not an integer
376;kunden_id;not an integer
377;kunden_id;not an integer
378;kunden_id;not an integer
378;punkte;must be 1-5
379;kunden_id;not an integer
380;kunden_id;not an integer
380;punkte;must be 1-5
381;kunden_id;not an integer
382;kunden_id;not an integer
382;punkte;must be 1-5
383;kunden_id;not an integer
383;punkte;must be 1-5
384;kunden_id;not an integer
385;kunden_id;not an integer
386;kunden_id;not an integer
387;kunden_id;not an integer
388;kunden_id;not an integer
388;punkte;must be 1-5
389;kunden_id;not an integer
390;kunden_id;not an integer
390;punkte;must be 1-5
391;kunden_id;not an integer
392;kunden_id;not an integer
393;kunden_id;not an integer
394;kunden_id;not an integer
394;punkte;must be 1-5
395;kunden_id;not an integer
395;punkte;must be 1-5
396;kunden_id;not an integer
396;punkte;must be 1-5
397;kunden_id;not an integer
397;punkte;must be 1-5
398;kunden_id;not an integer
399;kunden_id;not an integer
400;kunden_id;not an integer
401;kunden_id;not an integer
402;kunden_id;not an integer
402;punkte;must be 1-5
403;kunden_id;not an integer
404;kunden_id;not an integer
404;punkte;must be 1-5
405;kunden_id;not an integer
406;kunden_id;not an integer
406;punkte;must be 1-5
407;kunden_id;not an integer
407;punkte;must be 1-5
408;kunden_id;not an integer
408;punkte;must be 1-5
409;kunden_id;not an integer
409;punkte;must be 1-5
410;kunden_id;not an integer
410;punkte;must be 1-5
411;kunden_id;not an integer
411;punkte;must be 1-5
412;kunden_id;not an integer
412;punkte;must be 1-5
413;kunden_id;not an integer
413;punkte;must be 1-5
414;kunden_id;not an integer
414;punkte;must be 1-5
415;kunden_id;not an integer
415;punkte;must be 1-5
416;kunden_id;not an integer
417;kunden_id;not an integer
418;kunden_id;not an integer
418;punkte;must be 1-5
419;kunden_id;not an integer
419;punkte;must be 1-5
420;kunden_id;not an integer
420;punkte;must be 1-5
421;kunden_id;not an integer
422;kunden_id;not an integer
423;kunden_id;not an integer
424;kunden_id;not an integer
424;punkte;must be 1-5
425;kunden_id;not an integer
425;punkte;must be 1-5
426;kunden_id;not an integer
426;punkte;must be 1-5
427;kunden_id;not an integer
427;punkte;must be 1-5
428;kunden_id;not an integer
428;punkte;must be 1-5
429;kunden_id;not an integer
429;punkte;must be 1-5
430;kunden_id;not an integer
430;punkte;must be 1-5
431;kunden_id;not an integer
432;kunden_id;not an integer
433;kunden_id;not an integer
433;punkte;must be 1-5
434;kunden_id;not an integer
434;punkte;must be 1-5
435;kunden_id;not an integer
435;punkte;must be 1-5
436;kunden_id;not an integer
437;kunden_id;not an integer
438;kunden_id;not an integer
439;kunden_id;not an integer
440;kunden_id;not an integer
441;kunden_id;not an integer
442;kunden_id;not an integer
442;punkte;must be 1-5
443;kunden_id;not an integer
444;kunden_id;not an integer
444;punkte;must be 1-5
445;kunden_id;not an integer
445;punkte;must be 1-5
446;kunden_id;not an integer
447;kunden_id;not an integer
447;punkte;must be 1-5
448;kunden_id;not an integer
448;punkte;must be 1-5
449;kunden_id;not an integer
449;punkte;must be 1-5
450;kunden_id;not an integer
450;punkte;must be 1-5
451;kunden_id;not an integer
452;kunden_id;not an integer
453;kunden_id;not an integer
453;punkte;must be 1-5
454;kunden_id;not an integer
455;kunden_id;not an integer
455;punkte;must be 1-5
456;kunden_id;not an integer
456;punkte;must be 1-5
457;kunden_id;not an integer
457;punkte;must be 1-5
458;kunden_id;not an integer
458;punkte;must be 1-5
459;kunden_id;not an integer
460;kunden_id;not an integer
461;kunden_id;not an integer
462;kunden_id;not an integer
463;kunden_id;not an integer
464;kunden_id;not an integer
465;kunden_id;not an integer
465;punkte;must be 1-5
466;kunden_id;not an integer
467;kunden_id;not an integer
467;punkte;must be 1-5
468;kunden_id;not an integer
469;kunden_id;not an integer
469;punkte;must be 1-5
470;kunden_id;not an integer
471;kunden_id;not an integer
471;punkte;must be 1-5
472;kunden_id;not an integer
473;kunden_id;not an integer
474;kunden_id;not an integer
475;kunden_id;not an integer
475;punkte;must be 1-5
476;kunden_id;not an integer
476;punkte;must be 1-5
477;kunden_id;not an integer
477;punkte;must be 1-5
478;kunden_id;not an integer
478;punkte;must be 1-5
479;kunden_id;not an integer
480;kunden_id;not an integer
481;kunden_id;not an integer
481;punkte;must be 1-5
482;kunden_id;not an integer
483;kunden_id;not an integer
483;punkte;must be 1-5
484;kunden_id;not an integer
485;kunden_id;not an integer
485;punkte;must be 1-5
486;kunden_id;not an integer
486;punkte;must be 1-5
487;kunden_id;not an integer
488;kunden_id;not an integer
489;kunden_id;not an integer
490;kunden_id;not an integer
491;kunden_id;not an integer
491;punkte;must be 1-5
492;kunden_id;not an integer
493;kunden_id;not an integer
494;kunden_id;not an integer
495;kunden_id;not an integer
496;kunden_id;not an integer
497;kunden_id;not an integer
498;kunden_id;not an integer
499;kunden_id;not an integer
499;punkte;must be 1-5
500;kunden_id;not an integer
501;kunden_id;not an integer
502;kunden_id;not an integer
503;kunden_id;not an integer
503;punkte;must be 1-5
504;kunden_id;not an integer
505;kunden_id;not an integer
505;punkte;must be 1-5
506;kunden_id;not an integer
506;punkte;must be 1-5
507;kunden_id;not an integer
508;kunden_id;not an integer
509;kunden_id;not an integer
510;kunden_id;not an integer
511;kunden_id;not an integer
511;punkte;must be 1-5
512;kunden_id;not an integer
512;punkte;must be 1-5
513;kunden_id;not an integer
514;kunden_id;not an integer
515;kunden_id;not an integer
515;punkte;must be 1-5
516;kunden_id;not an integer
517;kunden_id;not an integer
518;kunden_id;not an integer
518;punkte;must be 1-5
519;kunden_id;not an integer
520;kunden_id;not an integer
521;kunden_id;not an integer
521;punkte;must be 1-5
522;kunden_id;not an integer
523;kunden_id;not an integer
524;kunden_id;not an integer
524;punkte;must be 1-5
525;kunden_id;not an integer
525;punkte;must be 1-5
526;kunden_id;not an integer
527;kunden_id;not an integer
528;kunden_id;not an integer
528;punkte;must be 1-5
529;kunden_id;not an integer
530;kunden_id;not an integer
530;punkte;must be 1-5
531;kunden_id;not an integer
532;kunden_id;not an integer
532;punkte;must be 1-5
533;kunden_id;not an integer
534;kunden_id;not an integer
535;kunden_id;not an integer
536;kunden_id;not an integer
537;kunden_id;not an integer
537;punkte;must be 1-5
538;kunden_id;not an integer
539;kunden_id;not an integer
539;punkte;must be 1-5
540;kunden_id;not an integer
541;kunden_id;not an integer
541;punkte;must be 1-5
542;kunden_id;not an integer
543;kunden_id;not an integer
543;punkte;must be 1-5
544;kunden_id;not an integer
545;kunden_id;not an integer
545;punkte;must be 1-5
546;kunden_id;not an integer
547;kunden_id;not an integer
548;kunden_id;not an integer
548;punkte;must be 1-5
549;kunden_id;not an integer
549;punkte;must be 1-5
550;kunden_id;not an integer
551;kunden_id;not an integer
551;punkte;must be 1-5
552;kunden_id;not an integer
552;punkte;must be 1-5
553;kunden_id;not an integer
554;kunden_id;not an integer
554;punkte;must be 1-5
555;kunden_id;not an integer
555;punkte;must be 1-5
556;kunden_id;not an integer
557;kunden_id;not an integer
558;kunden_id;not an integer
558;punkte;must be 1-5
559;kunden_id;not an integer
560;kunden_id;not an integer
560;punkte;must be 1-5
561;kunden_id;not an integer
561;punkte;must be 1-5
562;kunden_id;not an integer
563;kunden_id;not an integer
563;punkte;must be 1-5
564;kunden_id;not an integer
565;kunden_id;not an integer
565;punkte;must be 1-5
566;kunden_id;not an integer
567;kunden_id;not an integer
567;punkte;must be 1-5
568;kunden_id;not an integer
569;kunden_id;not an integer
569;punkte;must be 1-5
570;kunden_id;not an integer
571;kunden_id;not an integer
572;kunden_id;not an integer
573;kunden_id;not an integer
573;punkte;must be 1-5
574;kunden_id;not an integer
575;kunden_id;not an integer
576;kunden_id;not an integer
577;kunden_id;not an integer
577;punkte;must be 1-5
578;kunden_id;not an integer
579;kunden_id;not an integer
580;kunden_id;not an integer
580;punkte;must be 1-5
581;kunden_id;not an integer
582;kunden_id;not an integer
582;punkte;must be 1-5
583;kunden_id;not an integer
583;punkte;must be 1-5
584;kunden_id;not an integer
584;punkte;must be 1-5
585;kunden_id;not an integer
585;punkte;must be 1-5
586;kunden_id;not an integer
587;kunden_id;not an integer
588;kunden_id;not an integer
588;punkte;must be 1-5
589;kunden_id;not an integer
590;kunden_id;not an integer
590;punkte;must be 1-5
591;kunden_id;not an integer
592;kunden_id;not an integer
593;kunden_id;not an integer
593;punkte;must be 1-5
594;kunden_id;not an integer
595;kunden_id;not an integer
596;kunden_id;not an integer
596;punkte;must be 1-5
597;kunden_id;not an integer
598;kunden_id;not an integer
599;kunden_id;not an integer
599;punkte;must be 1-5
600;kunden_id;not an integer
600;punkte;must be 1-5
601;kunden_id;not an integer
601;punkte;must be 1-5
602;kunden_id;not an integer
603;kunden_id;not an integer
604;kunden_id;not an integer
604;punkte;must be 1-5
605;kunden_id;not an integer
605;punkte;must be 1-5
606;kunden_id;not an integer
607;kunden_id;not an integer
608;kunden_id;not an integer
609;kunden_id;not an integer
609;punkte;must be 1-5
610;kunden_id;not an integer
611;kunden_id;not an integer
612;kunden_id;not an integer
613;kunden_id;not an integer
613;punkte;must be 1-5
614;kunden_id;not an integer
614;punkte;must be 1-5
615;kunden_id;not an integer
616;kunden_id;not an integer
617;kunden_id;not an integer
618;kunden_id;not an integer
619;kunden_id;not an integer
620;kunden_id;not an integer
620;punkte;must be 1-5
621;kunden_id;not an integer
622;kunden_id;not an integer
622;punkte;must be 1-5
623;kunden_id;not an integer
623;punkte;must be 1-5
624;kunden_id;not an integer
625;kunden_id;not an integer
626;kunden_id;not an integer
626;punkte;must be 1-5
627;kunden_id;not an integer
628;kunden_id;not an integer
628;punkte;must be 1-5
629;kunden_id;not an integer
629;punkte;must be 1-5
630;kunden_id;not an integer
630;punkte;must be 1-5
631;kunden_id;not an integer
632;kunden_id;not an integer
633;kunden_id;not an integer
633;punkte;must be 1-5
634;kunden_id;not an integer
635;kunden_id;not an integer
636;kunden_id;not an integer
636;punkte;must be 1-5
637;kunden_id;not an integer
638;kunden_id;not an integer
638;punkte;must be 1-5
639;kunden_id;not an integer
639;punkte;must be 1-5
640;kunden_id;not an integer
640;punkte;must be 1-5
641;kunden_id;not an integer
641;punkte;must be 1-5
642;kunden_id;not an integer
643;kunden_id;not an integer
644;kunden_id;not an integer
644;punkte;must be 1-5
645;kunden_id;not an integer
646;kunden_id;not an integer
646;punkte;must be 1-5
647;kunden_id;not an integer
647;punkte;must be 1-5
648;kunden_id;not an integer
649;kunden_id;not an integer
649;punkte;must be 1-5
650;kunden_id;not an integer
651;kunden_id;not an integer
652;kunden_id;not an integer
653;kunden_id;not an integer
653;punkte;must be 1-5
654;kunden_id;not an integer
654;punkte;must be 1-5
655;kunden_id;not an integer
655;punkte;must be 1-5
656;kunden_id;not an integer
656;punkte;must be 1-5
657;kunden_id;not an integer
658;kunden_id;not an integer
659;kunden_id;not an integer
659;punkte;must be 1-5
660;kunden_id;not an integer
660;punkte;must be 1-5
661;kunden_id;not an integer
662;kunden_id;not an integer
663;kunden_id;not an integer
664;kunden_id;not an integer
664;punkte;must be 1-5
665;kunden_id;not an integer
665;punkte;must be 1-5
666;kunden_id;not an integer
667;kunden_id;not an integer
668;kunden_id;not an integer
669;kunden_id;not an integer
669;punkte;must be 1-5
670;kunden_id;not an integer
671;kunden_id;not an integer
672;kunden_id;not an integer
673;kunden_id;not an integer
674;kunden_id;not an integer
675;kunden_id;not an integer
675;punkte;must be 1-5
676;kunden_id;not an integer
677;kunden_id;not an integer
677;punkte;must be 1-5
678;kunden_id;not an integer
679;kunden_id;not an integer
680;kunden_id;not an integer
680;punkte;must be 1-5
681;kunden_id;not an integer
682;kunden_id;not an integer
682;punkte;must be 1-5
683;kunden_id;not an integer
684;kunden_id;not an integer
684;punkte;must be 1-5
685;kunden_id;not an integer
686;kunden_id;not an integer
686;punkte;must be 1-5
687;kunden_id;not an integer
688;kunden_id;not an integer
689;kunden_id;not an integer
690;kunden_id;not an integer
691;kunden_id;not an integer
692;kunden_id;not an integer
692;punkte;must be 1-5
693;kunden_id;not an integer
694;kunden_id;not an integer
694;punkte;must be 1-5
695;kunden_id;not an integer
696;kunden_id;not an integer
697;kunden_id;not an integer
698;kunden_id;not an integer
699;kunden_id;not an integer
700;kunden_id;not an integer
700;punkte;must be 1-5
701;kunden_id;not an integer
702;kunden_id;not an integer
703;kunden_id;not an integer
703;punkte;must be 1-5
704;kunden_id;not an integer
704;punkte;must be 1-5
705;kunden_id;not an integer
705;punkte;must be 1-5
706;kunden_id;not an integer
707;kunden_id;not an integer
708;kunden_id;not an integer
708;punkte;must be 1-5
709;kunden_id;not an integer
709;punkte;must be 1-5
710;kunden_id;not an integer
711;kunden_id;not an integer
712;kunden_id;not an integer
712;punkte;must be 1-5
713;kunden_id;not an integer
714;kunden_id;not an integer
714;punkte;must be 1-5
715;kunden_id;not an integer
715;punkte;must be 1-5
716;kunden_id;not an integer
717;kunden_id;not an integer
718;kunden_id;not an integer
719;kunden_id;not an integer
720;kunden_id;not an integer
720;punkte;must be 1-5
721;kunden_id;not an integer
721;punkte;must be 1-5
722;kunden_id;not an integer
722;punkte;must be 1-5
723;kunden_id;not an integer
723;punkte;must be 1-5
724;kunden_id;not an integer
725;kunden_id;not an integer
725;punkte;must be 1-5
726;kunden_id;not an integer
726;punkte;must be 1-5
727;kunden_id;not an integer
727;punkte;must be 1-5
728;kunden_id;not an integer
728;punkte;must be 1-5
729;kunden_id;not an integer
729;punkte;must be 1-5
730;kunden_id;not an integer
730;punkte;must be 1-5
731;kunden_id;not an integer
732;kunden_id;not an integer
733;kunden_id;not an integer
734;kunden_id;not an integer
734;punkte;must be 1-5
735;kunden_id;not an integer
736;kunden_id;not an integer
737;kunden_id;not an integer
737;punkte;must be 1-5
738;kunden_id;not an integer
739;kunden_id;not an integer
740;kunden_id;not an integer
741;kunden_id;not an integer
742;kunden_id;not an integer
743;kunden_id;not an integer
744;kunden_id;not an integer
